feature,importance_main,experiment_x,rank_main,importance_robust,experiment_y,rank_robust,importance_diff,rank_shift
distance_to_paris_centroid_m,0.25531189158856776,main,1,0.23360692373799477,robust_filtered,1,-0.021704967850572993,0
area_km2,0.1488187985717226,main,2,0.17329445902079862,robust_filtered,2,0.024475660449076037,0
P22_PMEN,0.13976869993608973,main,3,0.13647538795697803,robust_filtered,3,-0.0032933119791117016,0
P22_POP,0.12183150072256067,main,4,0.12557615265315356,robust_filtered,4,0.003744651930592882,0
population_density,0.10550368172996745,main,5,0.11523318835291343,robust_filtered,5,0.009729506622945985,0
green_ratio,0.08761478188030947,main,6,0.09293552059413875,robust_filtered,6,0.005320738713829279,0
green_area_m2,0.08742024348978793,main,7,0.0757721652919413,robust_filtered,7,-0.01164807819784662,0
trilib_density,0.04657786819417995,main,8,0.040766894491300325,robust_filtered,8,-0.0058109737028796266,0
trilib_count,0.0071525338868144795,main,9,0.006339307900781286,robust_filtered,9,-0.0008132259860331933,0
